,ATIVO1,ATIVO2,ATIVO3,ATIVO4,ATIVO5,ATIVO6,ATIVO7,ATIVO8
2020-01-02,100.4768889144064,100.6772453985775,100.56827424814236,99.67117070730926,97.15973375267639,100.50933833695063,101.15797622875216,100.53653199247714
2020-01-03,100.27345113274716,102.57245797195841,102.13167197052701,102.05559031594247,97.0184502238975,100.85022199696158,103.0308856506607,101.3933689238832
2020-01-06,97.44799502569686,101.19169733661633,101.78853869821532,101.15255863866024,95.72507692969188,99.60689905787284,103.10432916104617,98.88182163124307
2020-01-07,96.71209429345467,101.12109388245234,102.89958395916827,99.38019229732254,94.17465276332653,97.10458985864604,103.09730183658228,97.53506915819233
2020-01-08,95.89899454164616,101.41560934425601,101.98650411632693,99.53793364602078,93.44993829872048,97.51865652512865,103.27411545416032,96.42265268643197
2020-01-09,96.50740260817676,103.75110000702281,103.02215987675648,98.3938049758594,95.02469405487183,96.79301524541509,106.01777649861543,98.37491368076834
2020-01-10,97.44551899947895,104.77958277516268,103.0172378963858,99.43711207410986,95.23400335570697,97.6331608133188,107.83339402404062,98.23034462370639
2020-01-13,96.57638943808426,103.04092368151797,101.79758553395966,97.35774290375502,95.90186112026754,99.47636944480855,109.54834904783726,96.24850216831082
2020-01-14,97.1752056714783,104.4403513600621,101.26851896837536,97.499223539094,93.35885867920226,99.43155306552457,107.90199598224339,96.31094165859048
2020-01-15,95.78432944266183,105.6490357746525,102.93131441205863,96.95877630559893,92.50945454497685,97.04535235698248,108.10387543511393,96.06189393307179
2020-01-16,93.662655866776,105.7095906998206,102.20812938662891,95.56185437110057,91.5232342428479,97.97945293839364,108.44876769013598,95.59849831225914
2020-01-17,94.87571710346144,104.89808170791042,102.79128814356777,96.21984282325666,91.52503544559606,98.65783673656946,108.13306227116686,96.72689006074994
2020-01-20,95.18750964051937,100.87304427752632,104.04609994127823,92.57243792071569,90.52938498441398,99.66750437718389,107.32036517826103,94.74495666067678
2020-01-21,94.3888067679367,102.70939271074549,101.99984139183272,94.1252524472118,90.91995878720967,98.54404096010461,107.13271747812885,94.00963843411195
2020-01-22,95.800451052099,104.18481120983596,100.1962119106128,93.9236327616728,90.40851068814538,100.39424799703394,105.93026186584844,96.23133798566441
2020-01-23,96.58612543563915,103.74270215049408,100.26794299555479,93.81758822418983,89.8308834714215,100.71531763177252,105.45996760709744,94.59411130758994
2020-01-24,95.5734412034436,100.76300608593418,99.04105958268973,92.50519546502775,88.33138461343668,102.70202227474246,104.8429276658019,94.36345197991139
2020-01-27,94.38541180473764,101.08291814777874,99.77858016669872,91.8041840774326,90.140711866297,101.91842804943447,105.4896230705159,94.446971624653
2020-01-28,94.17290944214001,99.76062810572482,99.29456366756281,91.40072888211603,88.9445348885179,102.11274792636151,105.32072087816233,94.00929370465279
2020-01-29,93.65577453852978,100.72399193738086,98.79846772965956,90.87682191601864,89.03380070002275,104.42114100725912,103.55174670518883,94.79283466376522
2020-01-30,92.15482751634333,101.79869796292927,101.12788193058111,91.80089817360268,89.83767462029355,104.15649933318873,104.35163778764354,95.08948686202528
2020-01-31,91.14168762480622,101.27044724772696,101.14673480818956,90.76912859300718,88.82522251300816,102.49745322742005,104.62291250044184,95.534556129895
2020-02-03,91.57987113748693,102.7064997798996,101.37063969263987,91.29964143836533,89.3407622429187,102.54397664207869,104.18659545705391,98.28611011028
2020-02-04,91.59741429443729,102.57269445018562,102.35137937121752,91.96690125807531,88.36725619319704,104.23445624735513,104.73858988707869,97.51618974268645
2020-02-05,93.28065803043889,103.82613223004864,101.14607401583112,94.2509134681083,89.43735741131947,104.40940645208687,107.24354422735254,98.08548913691912
